path,id,CRO_Dy,CRO_Ro,CRO_V,CRO_D,CRO_G,CRO_Re,GPT_Dy,GPT_Ro,GPT_V,GPT_D,GPT_G,GPT_Re,CLD_Dy,CLD_Ro,CLD_V,CLD_D,CLD_G,CLD_Re,Gem_Dy,Gem_Ro,Gem_V,Gem_D,Gem_G,Gem_Re,GRK_Dy,GRK_Ro,GRK_V,GRK_D,GRK_G,GRK_Re
2,403,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,404,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,405,1,1,0,0,1,0,1,1,-2,0,-1,-2,-1,1,0,0,1,-2,-1,-1,0,0,-1,0,1,1,-2,0,-1,-2
2,406,1,1,0,0,1,0,1,1,-2,0,-1,-2,-1,1,-2,0,1,-2,-1,-1,0,0,-1,0,1,1,-2,0,-1,-2
2,407,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,408,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,409,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,410,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,-1,0,-1,1
2,501,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,502,1,1,1,0,1,1,1,1,1,0,1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,503,1,0,1,1,1,1,1,-2,1,-1,-1,1,-1,-2,1,-1,1,1,-1,0,-1,-1,-1,-1,1,-2,1,-1,-1,1
2,504,1,0,1,1,1,1,1,-2,1,-1,-1,1,-1,-2,1,-1,1,1,-1,0,-1,-1,-1,-1,1,-2,1,-1,-1,1
2,505,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,506,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,507,1,1,0,0,1,0,1,1,-2,0,-1,-2,-1,1,-2,0,1,-2,-1,-1,0,0,-1,0,-1,1,-2,0,-1,-2
2,508,1,1,0,0,1,0,1,1,-2,0,-1,-2,-1,1,-2,0,1,-2,-1,-1,0,0,-1,0,1,1,-2,0,-1,-2
2,509,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
2,510,1,1,1,0,1,1,1,1,1,0,-1,1,-1,1,1,0,1,1,-1,-1,-1,0,-1,-1,1,1,1,0,-1,1
