Path,ID,Claude_Dy,Claude_Ro,Claude_V,Claude_D,Claude_G,Claude_Re,ChatGPT_Dy,ChatGPT_Ro,ChatGPT_V,ChatGPT_D,ChatGPT_G,ChatGPT_Re,Gemini_Dy,Gemini_Ro,Gemini_V,Gemini_D,Gemini_G,Gemini_Re,Grok_Dy,Grok_Ro,Grok_V,Grok_D,Grok_G,Grok_Re,CRO_Dy,CRO_Ro,CRO_V,CRO_D,CRO_G,CRO_Re
1,508,,✔️,,,✔️,✔️,,✔️,✔️,,,✔️,,,,,,,,✔️,✔️,,,✔️,,,,,,
1,509,,✔️,✔️,,✔️,✔️,,,,,,✔️,,,,,,,,,,,,✔️,,,,,,
1,510,,✔️,✔️,,✔️,✔️,,✔️,✔️,,✔️,✔️,,,,,,,,✔️,✔️,,✔️,✔️,,,,,,
2,101,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,,✔️,✔️,,,✔️,,✔️,,,,
2,102,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,103,,✔️,,,✔️,✔️,,✔️,✔️,,,✔️,,,,,,,,✔️,✔️,,,✔️,,✔️,,,,
2,104,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,105,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,106,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,107,✔️,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,108,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,109,,✔️,,,✔️,✔️,,✔️,✔️,,,✔️,,,,,,,✔️,✔️,,,,✔️,,✔️,,,,
2,110,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,201,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,,,,,
2,202,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,✔️,✔️
2,203,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,204,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,205,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,206,✔️,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,207,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,208,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,209,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,210,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,✔️,,,,
2,212,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,
2,213,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,
2,301,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,302,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,✔️,✔️
2,303,✔️,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️
2,304,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,305,,,,,,,,,,,,,,,,,,,,,,,,,✔️,✔️,✔️,,✔️,✔️
2,306,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,✔️,✔️
2,307,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,,✔️,,,,,,
2,308,,✔️,,,✔️,✔️,✔️,✔️,,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,,,,✔️,,,,,,
2,309,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,310,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,401,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,402,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,,✔️
2,403,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,404,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,405,,✔️,,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,,,✔️,
2,406,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,,,✔️,
2,407,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,408,✔️,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,409,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,410,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,501,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,502,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,✔️,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,503,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,,✔️,✔️,✔️,✔️
2,504,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,,✔️,✔️,✔️,✔️
2,505,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,506,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,507,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,,✔️,✔️,,,✔️,✔️,✔️,,,✔️,
2,508,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,,,✔️,
2,509,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
2,510,,✔️,✔️,,✔️,✔️,✔️,✔️,✔️,,,✔️,,,,,,,✔️,✔️,✔️,,,✔️,✔️,✔️,✔️,,✔️,✔️
